osm_id,osm_type,latitude,longitude,name,operator,normalized_category,relevance_tier,facility_type,source_tile,raw_tags
4979966303,node,10.9219109,77.5005768,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512203867,node,10.8463938,77.3573396,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512203868,node,10.8488832,77.320529,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512203869,node,10.8459328,77.3222161,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512203870,node,10.9305074,77.2949964,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512203871,node,10.9277329,77.2983773,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512203872,node,10.9254338,77.297283,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512250434,node,10.89509,77.2924382,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512250435,node,10.8704914,77.3022283,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512250436,node,10.8724933,77.305522,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512280903,node,10.826821,77.4204776,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512280904,node,10.839013,77.4158964,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512280905,node,10.8495397,77.4124631,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512280906,node,10.8403829,77.3968205,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512280907,node,10.8347137,77.4135038,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512280908,node,10.8265365,77.4071631,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
5512280910,node,10.820161,77.4006292,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_3_2,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
