event_id,processing_status,pre_event_status,post_event_status,is_real_cdse_data,processing_timestamp,error_category
FIRMS_TN_0145,PARTIAL_POST_ONLY,CLOUD_REJECTED,REAL_CDSE_SUCCESS,True,2026-09-05T16:31:58Z,
FIRMS_TN_0146,PARTIAL_POST_ONLY,CLOUD_REJECTED,REAL_CDSE_SUCCESS,True,2026-09-05T16:32:08Z,
FIRMS_TN_0147,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:32:14Z,CLOUD_REJECTED
FIRMS_TN_0148,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:32:20Z,
FIRMS_TN_0149,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:32:25Z,
FIRMS_TN_0150,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:32:31Z,
FIRMS_TN_0151,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:32:36Z,
FIRMS_TN_0152,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:32:42Z,CLOUD_REJECTED
FIRMS_TN_0153,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:32:47Z,CLOUD_REJECTED
FIRMS_TN_0154,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:32:51Z,
FIRMS_TN_0155,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:32:56Z,CLOUD_REJECTED
FIRMS_TN_0156,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:33:01Z,
FIRMS_TN_0157,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:33:05Z,
FIRMS_TN_0158,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRODUCT,True,2026-09-05T16:33:10Z,CLOUD_REJECTED
FIRMS_TN_0159,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,MISSING_PRODUCT,True,2026-09-05T16:33:15Z,
FIRMS_TN_0160,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:33:19Z,CLOUD_REJECTED
FIRMS_TN_0161,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:33:24Z,
FIRMS_TN_0162,PARTIAL_POST_ONLY,CLOUD_REJECTED,REAL_CDSE_SUCCESS,True,2026-09-05T16:33:31Z,
FIRMS_TN_0163,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:33:37Z,CLOUD_REJECTED
FIRMS_TN_0164,PARTIAL_POST_ONLY,MISSING_PRODUCT,REAL_CDSE_SUCCESS,True,2026-09-05T16:33:42Z,
FIRMS_TN_0165,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:33:46Z,CLOUD_REJECTED
FIRMS_TN_0166,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:33:52Z,CLOUD_REJECTED
FIRMS_TN_0167,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:33:57Z,CLOUD_REJECTED
FIRMS_TN_0168,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:34:01Z,CLOUD_REJECTED
FIRMS_TN_0169,PARTIAL_POST_ONLY,MISSING_PRODUCT,REAL_CDSE_SUCCESS,True,2026-09-05T16:34:06Z,
FIRMS_TN_0170,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:34:11Z,
FIRMS_TN_0171,CLOUD_REJECTED,CLOUD_REJECTED,CLOUD_REJECTED,True,2026-09-05T16:34:16Z,CLOUD_REJECTED
FIRMS_TN_0172,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:34:20Z,CLOUD_REJECTED
FIRMS_TN_0173,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:34:24Z,CLOUD_REJECTED
FIRMS_TN_0174,PARTIAL_POST_ONLY,MISSING_PRODUCT,REAL_CDSE_SUCCESS,True,2026-09-05T16:34:29Z,
FIRMS_TN_0175,PARTIAL_PRE_ONLY,REAL_CDSE_SUCCESS,CLOUD_REJECTED,True,2026-09-05T16:34:34Z,
FIRMS_TN_0176,PARTIAL_POST_ONLY,CLOUD_REJECTED,REAL_CDSE_SUCCESS,True,2026-09-05T16:34:39Z,
FIRMS_TN_0177,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,True,2026-09-05T16:34:45Z,
FIRMS_TN_0178,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:34:50Z,CLOUD_REJECTED
FIRMS_TN_0179,CLOUD_REJECTED,MISSING_PRODUCT,CLOUD_REJECTED,True,2026-09-05T16:34:54Z,CLOUD_REJECTED
